Scenario,DateTime,Thermal Generation (MWh),Renewables Curtailment (MWh),Storage Charging (MWh),Storage Discharging (MWh),Storage SOC (MWh),Objective Value,Solve Time (s),Memory Allocated
Scenario_1,2020-07-01T00:00:00.0,2.7871025707141543e6,27417.89999999998,7089.123435521699,7089.123435521698,55840.19981809125,1.3249382429125667e8,95.52694463729858,2.4164784e8
Scenario_2,2020-07-01T00:00:00.0,2.7826615338121625e6,27417.89999999998,48413.93640924568,48413.936409245696,571605.2415661138,1.2980772388080956e8,84.1915237903595,1.1328388e8
